question,cluster_id,ai_template_likeness,summary,comment,raw_response
Q1,0,0.88,"内容面では『体験学習』の定義と学生への影響・具体例を列挙する構成がほぼ一貫しており、同じ箇条書き形式が頻出。構造面ではまず定義、次に影響（学習意欲・問題解決・協働など）をまとめ、最後に具体例で締めるという三部構成。文体面では丁寧語とビジネス／教育系の定型表現が多用され、語彙は比較的簡素で類似のフレーズ（""Học tập qua trải nghiệm là…""、""Ví dụ:""など）が重複している。",回答全体が同一テンプレートに沿って構成され、定型語句と繰り返し箇条書きが多いため、生成AIが作成するようなパターン的・テンプレート的な特徴が強い。個別性・創造性が乏しく、同じフレーズの頻出がAIらしさを高める要因となる。,"{
  ""summary"": ""内容面では『体験学習』の定義と学生への影響・具体例を列挙する構成がほぼ一貫しており、同じ箇条書き形式が頻出。構造面ではまず定義、次に影響（学習意欲・問題解決・協働など）をまとめ、最後に具体例で締めるという三部構成。文体面では丁寧語とビジネス／教育系の定型表現が多用され、語彙は比較的簡素で類似のフレーズ（\""Học tập qua trải nghiệm là…\""、\""Ví dụ:\""など）が重複している。"",
  ""ai_template_likeness"": 0.88,
  ""comment"": ""回答全体が同一テンプレートに沿って構成され、定型語句と繰り返し箇条書きが多いため、生成AIが作成するようなパターン的・テンプレート的な特徴が強い。個別性・創造性が乏しく、同じフレーズの頻出がAIらしさを高める要因となる。""
}"
Q1,1,0.35,内容は体験学習の定義と、学生への影響を箇条書きで列挙し、具体例で説明する構成。論理展開は原因と結果を明確に示す簡潔なリスト型で、段落は主題ごとに区切られずに一つの連続した文にまとめられている。文体はフォーマルで語彙は専門用語と日常語を混在させ、定型表現（例：『HS học đi đôi với hành』『HS yêu thích học tập』）が頻出。人間らしい個別の経験や感情の表現は少なく、全体としては整理されたテンプレート的印象を受ける。,この回答はAIが生成するテンプレートによく見られる特徴（定義と影響を箇条書きでまとめ、具体例を添える）が含まれているが、語彙や文体に若干のバリエーションがあり、完全に機械的なパターンではない。したがって、AI風度合いは低め（0.35）と評価した。,"{
  ""summary"": ""内容は体験学習の定義と、学生への影響を箇条書きで列挙し、具体例で説明する構成。論理展開は原因と結果を明確に示す簡潔なリスト型で、段落は主題ごとに区切られずに一つの連続した文にまとめられている。文体はフォーマルで語彙は専門用語と日常語を混在させ、定型表現（例：『HS học đi đôi với hành』『HS yêu thích học tập』）が頻出。人間らしい個別の経験や感情の表現は少なく、全体としては整理されたテンプレート的印象を受ける。"",
  ""ai_template_likeness"": 0.35,
  ""comment"": ""この回答はAIが生成するテンプレートによく見られる特徴（定義と影響を箇条書きでまとめ、具体例を添える）が含まれているが、語彙や文体に若干のバリエーションがあり、完全に機械的なパターンではない。したがって、AI風度合いは低め（0.35）と評価した。""
}"
Q2,0,0.65,本クラスターでは、学生が「活動名・目的・実施手順・育成スキル」を順序立てて記述する構造が一貫している。内容は学級環境の改善や個人学習空間の整備などをテーマに、具体的な活動手順や評価項目を細かく示し、育成したいスキル（コミュニケーション、創造性、協働、問題解決など）を箇条書きで列挙している。文章は丁寧語をほぼ使わず、語彙は標準的な教育用語や形容詞が多く、よく使われる定型表現（「Mục tiêu:」「Mô tả hoạt động:」「Kỹ năng và năng lực phát triển:」など）が頻繁に登場し、段落構成は「タイトル → 目的 → 手順 → スキル」というテンプレート型で統一されている。,回答はほぼ同じテンプレート（活動名・目的・手順・スキル）の枠組みを使用し、同一語句・語彙（例：『Kỹ năng giao tiếp』、『Tư duy phản biện』）を頻繁に繰り返している。人間が書いたとしても、明確に定義されたフォーマットに沿って作成されているため、生成AIが提供するテンプレート回答に似た特徴が観察できる。 ただし、個別の具体例や感想が少しずつ変わっている点から、完全にAI生成であるとは断言できず、やや高めの類似度（0.6～0.7）を示した。,"{""summary"":""本クラスターでは、学生が「活動名・目的・実施手順・育成スキル」を順序立てて記述する構造が一貫している。内容は学級環境の改善や個人学習空間の整備などをテーマに、具体的な活動手順や評価項目を細かく示し、育成したいスキル（コミュニケーション、創造性、協働、問題解決など）を箇条書きで列挙している。文章は丁寧語をほぼ使わず、語彙は標準的な教育用語や形容詞が多く、よく使われる定型表現（「Mục tiêu:」「Mô tả hoạt động:」「Kỹ năng và năng lực phát triển:」など）が頻繁に登場し、段落構成は「タイトル → 目的 → 手順 → スキル」というテンプレート型で統一されている。"",""ai_template_likeness"":0.65,""comment"":""回答はほぼ同じテンプレート（活動名・目的・手順・スキル）の枠組みを使用し、同一語句・語彙（例：『Kỹ năng giao tiếp』、『Tư duy phản biện』）を頻繁に繰り返している。人間が書いたとしても、明確に定義されたフォーマットに沿って作成されているため、生成AIが提供するテンプレート回答に似た特徴が観察できる。 ただし、個別の具体例や感想が少しずつ変わっている点から、完全にAI生成であるとは断言できず、やや高めの類似度（0.6～0.7）を示した。""}"
Q2,1,0.75,内容面では、学習活動の企画・設計とその具体的な流れ、目的・評価項目を詳細に記述している。構造面では、見出し・段落を統一した構成（例：活動の説明、目的、手順、評価・反省）を繰り返し、箇条書きや表形式で情報を整理している。文体面では、丁寧かつ公式的な表現（例：『～することが期待される』『～を重視する』）が多用され、定型表現やテンプレート的なフレーズ（『活動の流れは…』『評価の基準は…』）が頻出し、語彙は比較的限られた範囲に留まっている。,このクラスターは「活動設計・評価」テンプレートの典型的な構成を踏襲しており、段落分け・箇条書き・見出しの使用が規則的である点がAIが生成しやすいパターンに近い。一方で、具体的な事例や生徒の声、個別の工夫が散見されるため、完全に自動生成とみなすほどではない。したがって0.75のスコアとした。,"{
  ""summary"": ""内容面では、学習活動の企画・設計とその具体的な流れ、目的・評価項目を詳細に記述している。構造面では、見出し・段落を統一した構成（例：活動の説明、目的、手順、評価・反省）を繰り返し、箇条書きや表形式で情報を整理している。文体面では、丁寧かつ公式的な表現（例：『～することが期待される』『～を重視する』）が多用され、定型表現やテンプレート的なフレーズ（『活動の流れは…』『評価の基準は…』）が頻出し、語彙は比較的限られた範囲に留まっている。"",
  ""ai_template_likeness"": 0.75,
  ""comment"": ""このクラスターは「活動設計・評価」テンプレートの典型的な構成を踏襲しており、段落分け・箇条書き・見出しの使用が規則的である点がAIが生成しやすいパターンに近い。一方で、具体的な事例や生徒の声、個別の工夫が散見されるため、完全に自動生成とみなすほどではない。したがって0.75のスコアとした。""
}"
Q3,0,0.88,本クラスターの回答は、教育指導計画の基本構造（導入・活動・評価・まとめ）を明確に示し、同一の定型表現（「Kế hoạch dạy học」「Mục tiêu」「Các hoạt động chính」「Gợi ý câu hỏi」「Thử nghiệm」「Cải tiến」など）を多用している。内容はほぼ同一で、実験に必要な材料と手順をリスト化し、質問や反省点を箇条書きで提示。文体は公式かつ説明的で、語彙は一般的な教育用語に偏り、文法構造も一貫したテンプレート形式が見受けられる。,回答は、AIが生成しやすい標準化された教育プラン構成（導入・活動・評価・まとめ）と定型フレーズを頻繁に使用しているため、人工知能のテンプレート回答に非常に近いと判断できる。文章構造は統一され、語彙は限定的で再利用性が高い。したがって類似度は高く、0.88と評価。,"{
  ""summary"": ""本クラスターの回答は、教育指導計画の基本構造（導入・活動・評価・まとめ）を明確に示し、同一の定型表現（「Kế hoạch dạy học」「Mục tiêu」「Các hoạt động chính」「Gợi ý câu hỏi」「Thử nghiệm」「Cải tiến」など）を多用している。内容はほぼ同一で、実験に必要な材料と手順をリスト化し、質問や反省点を箇条書きで提示。文体は公式かつ説明的で、語彙は一般的な教育用語に偏り、文法構造も一貫したテンプレート形式が見受けられる。"",
  ""ai_template_likeness"": 0.88,
  ""comment"": ""回答は、AIが生成しやすい標準化された教育プラン構成（導入・活動・評価・まとめ）と定型フレーズを頻繁に使用しているため、人工知能のテンプレート回答に非常に近いと判断できる。文章構造は統一され、語彙は限定的で再利用性が高い。したがって類似度は高く、0.88と評価。""
}"
Q3,1,0.25,このクラスターの回答は、3メートル高さからチョークを落としても割れない装置を作る課題を教える際の授業計画を「活動1：問題提示・基準設定」「活動2：アイデア出し・設計・製作」「活動3：実験・評価・改善」という3段階に分けて提示し、各段階で使用する材料・道具、行うべき質問や手順を箇条書きで整理している。構成は明確な章立てと番号付きリストで段階的に流れが追えるようにしており、語調は比較的平易で日本語の敬語はほぼ使わず、学生が書いた自然な日本語（もしくはベトナム語）のように見える。語彙は教育実践に特化した用語（「設計」「評価」「材料」「道具」など）が多く、公式な定型表現は少ない。,回答は具体的な授業手順と材料リストを段階的に示しており、AIがよく作るような大枠のテンプレート（例：『まずはAを行い、次にBを実施する』）のような汎用的表現はほぼ見られない。学生らしい自然な語順と具体的な例・詳細が多いため、AI的なテンプレート性は低いと判断した。,"{
  ""summary"": ""このクラスターの回答は、3メートル高さからチョークを落としても割れない装置を作る課題を教える際の授業計画を「活動1：問題提示・基準設定」「活動2：アイデア出し・設計・製作」「活動3：実験・評価・改善」という3段階に分けて提示し、各段階で使用する材料・道具、行うべき質問や手順を箇条書きで整理している。構成は明確な章立てと番号付きリストで段階的に流れが追えるようにしており、語調は比較的平易で日本語の敬語はほぼ使わず、学生が書いた自然な日本語（もしくはベトナム語）のように見える。語彙は教育実践に特化した用語（「設計」「評価」「材料」「道具」など）が多く、公式な定型表現は少ない。"",
  ""ai_template_likeness"": 0.25,
  ""comment"": ""回答は具体的な授業手順と材料リストを段階的に示しており、AIがよく作るような大枠のテンプレート（例：『まずはAを行い、次にBを実施する』）のような汎用的表現はほぼ見られない。学生らしい自然な語順と具体的な例・詳細が多いため、AI的なテンプレート性は低いと判断した。""
}"
Q4,0,0.65,本クラスターの回答は、STEAM活動で生徒が『例を見たい』と求めた際に、具体的なサポート手段を提示しつつ、不安を和らげ創造性を促す方法を説明している。内容は『例示＋ヒントの提供』『創作プロセスの段階的支援』『評価基準の明示』を網羅し、構造は導入→例示方法→具体的実践例→評価方針という順序で展開されている。文体は丁寧語で統一され、専門用語や教育指導のフレーズ（例：『創造性を促す』『不安を軽減する』）が多用され、やや公式的・テンプレート的に見えるが、個別の具体例や個々の生徒への配慮の表現も含まれる。,この回答は、AIが生成する際に頻出する構造（導入＋具体例＋対策＋評価）や、よく使われる定型表現（『不安を和らげる』『創造性を促す』）が多く見受けられる点でテンプレートっぽさを示すが、実際の教材例や個別指導の具体策が挿入されている点で完全にAI風ではなく、人間の経験に基づく語りが混ざっている。したがって、テンプレート的要素が中程度に強く現れ、0.65というスコアが妥当と判断した。,"{
  ""summary"": ""本クラスターの回答は、STEAM活動で生徒が『例を見たい』と求めた際に、具体的なサポート手段を提示しつつ、不安を和らげ創造性を促す方法を説明している。内容は『例示＋ヒントの提供』『創作プロセスの段階的支援』『評価基準の明示』を網羅し、構造は導入→例示方法→具体的実践例→評価方針という順序で展開されている。文体は丁寧語で統一され、専門用語や教育指導のフレーズ（例：『創造性を促す』『不安を軽減する』）が多用され、やや公式的・テンプレート的に見えるが、個別の具体例や個々の生徒への配慮の表現も含まれる。"",
  ""ai_template_likeness"": 0.65,
  ""comment"": ""この回答は、AIが生成する際に頻出する構造（導入＋具体例＋対策＋評価）や、よく使われる定型表現（『不安を和らげる』『創造性を促す』）が多く見受けられる点でテンプレートっぽさを示すが、実際の教材例や個別指導の具体策が挿入されている点で完全にAI風ではなく、人間の経験に基づく語りが混ざっている。したがって、テンプレート的要素が中程度に強く現れ、0.65というスコアが妥当と判断した。""
}"
Q4,1,0.78,このクラスターの回答は、STEAM活動で生徒が「例を見たい」と言った際の対処を、例の提示を最小限に抑えつつ、創造性を刺激する具体的なサポート方法を列挙して説明する構成になっています。内容は例示の多様化、質問の活用、段階的なプロセス分割、ポジティブフィードバックなどを網羅し、全体を「どうやって安心させ、創造性を促すか」という一貫したテーマでまとめています。構造面では、導入 → 具体的支援方法のリスト化 → まとめと応用といった順序で、箇条書きや強調語句を多用し、同じフレーズが繰り返されるパターンが目立ちます。文体は丁寧で標準語を用い、定型表現（「例を見せる」→「例を提示する」など）や共通の接続語（「こうした」「こうした」）が頻繁に使われ、語彙は比較的平易で一貫したトーンです。,回答は構造が明確にリスト化され、語句やフレーズの繰り返しが多く、テンプレート的なパターンが見られます。人間が書く際には個別のエピソードや独自の視点が散りばめられることが多いですが、ここではそれらのバリエーションが欠けており、AIが生成しやすいフォーマットに近いと判断しました。,"{
  ""summary"": ""このクラスターの回答は、STEAM活動で生徒が「例を見たい」と言った際の対処を、例の提示を最小限に抑えつつ、創造性を刺激する具体的なサポート方法を列挙して説明する構成になっています。内容は例示の多様化、質問の活用、段階的なプロセス分割、ポジティブフィードバックなどを網羅し、全体を「どうやって安心させ、創造性を促すか」という一貫したテーマでまとめています。構造面では、導入 → 具体的支援方法のリスト化 → まとめと応用といった順序で、箇条書きや強調語句を多用し、同じフレーズが繰り返されるパターンが目立ちます。文体は丁寧で標準語を用い、定型表現（「例を見せる」→「例を提示する」など）や共通の接続語（「こうした」「こうした」）が頻繁に使われ、語彙は比較的平易で一貫したトーンです。"",
  ""ai_template_likeness"": 0.78,
  ""comment"": ""回答は構造が明確にリスト化され、語句やフレーズの繰り返しが多く、テンプレート的なパターンが見られます。人間が書く際には個別のエピソードや独自の視点が散りばめられることが多いですが、ここではそれらのバリエーションが欠けており、AIが生成しやすいフォーマットに近いと判断しました。""
}"
Q5,0,0.78,このクラスターの回答は、リサイクル素材を使った製品作成とそれを用いた授業設計を中心に構成されている。内容面では、活動名・目的・材料・手順・完成品の用途・学年・科目別の授業例などが網羅され、再利用や環境教育の意義が示される。構造面では、タイトル・概要・目的・材料リスト・手順・授業統合の順で段落が整理され、箇条書きや番号付きリストで情報が階層化されている。文体面は、丁寧でフォーマルな語彙と定型表現（「Mô tả hoạt động」「Mục tiêu」「Vật liệu gợi ý」等）が頻繁に用いられ、説明の語順や表現に類似性が高い。,回答は共通のテンプレート構造（活動名→目的→材料→手順→授業統合）を徹底的に再利用している。語彙や句が標準化されており、個別の工夫や語尾の変化が少なく、AIが生成したテンプレート回答に似たパターンが多い。したがって、AI風味のスコアは高め（0.78）と評価した。,"{
  ""summary"": ""このクラスターの回答は、リサイクル素材を使った製品作成とそれを用いた授業設計を中心に構成されている。内容面では、活動名・目的・材料・手順・完成品の用途・学年・科目別の授業例などが網羅され、再利用や環境教育の意義が示される。構造面では、タイトル・概要・目的・材料リスト・手順・授業統合の順で段落が整理され、箇条書きや番号付きリストで情報が階層化されている。文体面は、丁寧でフォーマルな語彙と定型表現（「Mô tả hoạt động」「Mục tiêu」「Vật liệu gợi ý」等）が頻繁に用いられ、説明の語順や表現に類似性が高い。"",
  ""ai_template_likeness"": 0.78,
  ""comment"": ""回答は共通のテンプレート構造（活動名→目的→材料→手順→授業統合）を徹底的に再利用している。語彙や句が標準化されており、個別の工夫や語尾の変化が少なく、AIが生成したテンプレート回答に似たパターンが多い。したがって、AI風味のスコアは高め（0.78）と評価した。""
}"
Q5,1,0.85,クラスターの回答は、教育活動の設計に関する詳細な説明を含み、以下の特徴を示す。 内容面では、リサイクル素材を使った製品作成とそれに基づく授業の構成、教材、評価基準、具体的な手順などを網羅的に提示している。 構造面では、章立て（導入・目的・教材・活動・評価・拡張など）と箇条書きで整理され、活動は段階別（開始・探求・実践・応用）に分けられている。 文体面では、敬語や専門用語はほとんどなく、標準的な日本語ではなくベトナム語（「Hoạt động」「Mục tiêu」など）で統一されたテンプレート風の表現が多用され、語彙は定型的でバリエーションが少ない。,回答は一貫した章立てと箇条書きで、ほぼ同じ構成要素（目的、教材、手順、評価）が繰り返し登場する。個別の創造的視点や個人の語調が薄く、よくあるAI生成文書や教材テンプレートに見られるパターンと高度に一致している。したがって、AIテンプレート的である程度の類似度を示すスコアを0.85と判断。,"{
  ""summary"": ""クラスターの回答は、教育活動の設計に関する詳細な説明を含み、以下の特徴を示す。 内容面では、リサイクル素材を使った製品作成とそれに基づく授業の構成、教材、評価基準、具体的な手順などを網羅的に提示している。 構造面では、章立て（導入・目的・教材・活動・評価・拡張など）と箇条書きで整理され、活動は段階別（開始・探求・実践・応用）に分けられている。 文体面では、敬語や専門用語はほとんどなく、標準的な日本語ではなくベトナム語（「Hoạt động」「Mục tiêu」など）で統一されたテンプレート風の表現が多用され、語彙は定型的でバリエーションが少ない。"",
  ""ai_template_likeness"": 0.85,
  ""comment"": ""回答は一貫した章立てと箇条書きで、ほぼ同じ構成要素（目的、教材、手順、評価）が繰り返し登場する。個別の創造的視点や個人の語調が薄く、よくあるAI生成文書や教材テンプレートに見られるパターンと高度に一致している。したがって、AIテンプレート的である程度の類似度を示すスコアを0.85と判断。""
}"
