student_id,question,sim_to_ai_max,sim_to_ai_mean,ai_ref_best_id
S001,Q1,0.35064935064935066,0.33031707012191164,gemini2_5_pro_v1_Q1
S001,Q2,0.22131541046567452,0.1686946021074869,gemini2_5_pro_v2_Q2
S001,Q3,0.3450429352068696,0.276396925056045,chatgpt_5_1_v1_Q3
S001,Q4,0.29876160990712075,0.2717208309081552,chatgpt_5_1_v1_Q4
S001,Q5,0.23655913978494625,0.2031434917960897,gemini2_5_pro_v1_Q5
S002,Q1,0.3684895833333333,0.32972047336524757,chatgpt_4_1_v1_Q1
S002,Q2,0.24851367419738407,0.23314427312715347,chatgpt_4_1_v2_Q2
S002,Q3,0.36607142857142855,0.2947390410435966,chatgpt_4_1_v2_Q3
S002,Q4,0.3212809917355372,0.284115925489144,chatgpt_4_1_v2_Q4
S002,Q5,0.2512254901960784,0.21536021184594442,gemini2_5_pro_v1_Q5
